127.0.0.1 - - [01/Nov/2020:17:57:08 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:57:09 +0900] "GET /Fromme/app/board/boardWrite.jsp HTTP/1.1" 200 11292
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:57:09 +0900] "GET /Fromme/app/assets/css/class-form.css HTTP/1.1" 200 6397
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:57:09 +0900] "GET /Fromme/app/assets/css/icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:57:09 +0900] "GET /Fromme/app/assets/css/responsee.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:57:09 +0900] "GET /Fromme/app/assets/css/components.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:57:09 +0900] "GET /Fromme/app/assets/css/summernote/summernote-lite.css HTTP/1.1" 200 31073
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:57:09 +0900] "GET /Fromme/app/assets/owl-carousel/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:57:09 +0900] "GET /Fromme/app/assets//css/board-style.css HTTP/1.1" 200 9859
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:57:09 +0900] "GET /Fromme/app/assets/css/template-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:57:09 +0900] "GET /Fromme/app/assets/owl-carousel/owl.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:57:09 +0900] "GET /Fromme/app/assets/js/jquery-1.8.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:57:09 +0900] "GET /Fromme/app/assets/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:57:09 +0900] "GET /Fromme/app/assets/owl-carousel/owl.carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:57:09 +0900] "GET /Fromme/app/assets/js/responsee.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:57:09 +0900] "GET /Fromme/app/assets/js/summernote/summernote-lite.js HTTP/1.1" 200 355299
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:57:09 +0900] "GET /Fromme/app/assets/js/summernote/summernote-ko-KR.js HTTP/1.1" 200 9652
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:57:09 +0900] "GET /Fromme/app/assets/js/template-scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:57:09 +0900] "GET /Fromme/app/assets/js/board.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:57:09 +0900] "GET /Fromme/app/assets/img/logo-dark.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:57:09 +0900] "GET /Fromme/app/assets/img/board_images/btn_plus.png HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:57:09 +0900] "GET /Fromme/app/assets/img/banner/event_mini_banner1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:57:09 +0900] "GET /Fromme/app/assets/img/board_images/btn_minus.png HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:57:09 +0900] "GET /Fromme/app/assets/font/Simple-Line-Icons.ttf?v=2.2.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:57:09 +0900] "GET /Fromme/app/assets/css/summernote/font/summernote.woff2 HTTP/1.1" 200 6156
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:57:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Nov/2020:17:58:10 +0900] "GET /Fromme/board/BoardList.bo?cat= HTTP/1.1" 200 -
